problem,N,M,algorithm,mean_ms,std_ms
DTLZ2,2000,2,CPU-NSGA2,14281.921149999835,323.461224108766
DTLZ2,2000,2,CPU-DCNS,16742.36421000096,245.42036815527106
DTLZ2,2000,2,CPU-BOS,1393.9639900054317,45.030687999581325
DTLZ2,2000,2,GPU-NDS,10.92027530670166,0.1733222897535306
DTLZ2,2000,2,Naive-GPU,10.157705593109132,0.2553647108262309
DTLZ2,2000,3,CPU-NSGA2,13850.57216999121,206.8067447419971
DTLZ2,2000,3,CPU-DCNS,14246.435640001437,401.8439286802326
DTLZ2,2000,3,CPU-BOS,1550.5063299962785,40.80018255582339
DTLZ2,2000,3,GPU-NDS,5.580710315704346,0.2228881410817956
DTLZ2,2000,3,Naive-GPU,5.151305675506592,0.03148629996400676
DTLZ2,2000,5,CPU-NSGA2,13474.110709998058,144.39588995003047
DTLZ2,2000,5,CPU-DCNS,13070.717840024736,311.68057336210137
DTLZ2,2000,5,CPU-BOS,1628.466910001589,37.85087016508308
DTLZ2,2000,5,GPU-NDS,3.4860159873962404,0.22098919567181632
DTLZ2,2000,5,Naive-GPU,3.0058112144470215,0.02993537880208276
DTLZ2,2000,8,CPU-NSGA2,13374.773010000354,286.08615119185856
DTLZ2,2000,8,CPU-DCNS,12430.449489998864,220.17689177641233
DTLZ2,2000,8,CPU-BOS,1932.1531100082211,69.21541561953161
DTLZ2,2000,8,GPU-NDS,3.1496032238006593,0.26780341205217817
DTLZ2,2000,8,Naive-GPU,2.627679967880249,0.0296690946541449
DTLZ2,2000,10,CPU-NSGA2,13409.713089989964,338.6343240633222
DTLZ2,2000,10,CPU-DCNS,12010.72694999748,295.5371319599676
DTLZ2,2000,10,CPU-BOS,2271.9314100046176,30.07694900449909
DTLZ2,2000,10,GPU-NDS,3.376479983329773,0.23290057998158398
DTLZ2,2000,10,Naive-GPU,2.9284575939178468,0.014155846832846316
DTLZ2,2000,15,CPU-NSGA2,13485.820999986026,329.78961700490635
DTLZ2,2000,15,CPU-DCNS,11879.460239998298,278.53770967365483
DTLZ2,2000,15,CPU-BOS,2147.9423599957954,63.116335862063856
DTLZ2,2000,15,GPU-NDS,3.8621952056884767,0.22756207745375723
DTLZ2,2000,15,Naive-GPU,3.379257607460022,0.02018872016996607
DTLZ6,2000,2,CPU-NSGA2,13462.350719998358,282.3606873707831
DTLZ6,2000,2,CPU-DCNS,14356.516290002037,269.3946505315642
DTLZ6,2000,2,CPU-BOS,1809.9795500165783,68.75439530109763
DTLZ6,2000,2,GPU-NDS,7.670492839813233,0.14671756627001348
DTLZ6,2000,2,Naive-GPU,7.413817596435547,0.0433932733540899
DTLZ6,2000,3,CPU-NSGA2,13173.322220006958,287.9061282030428
DTLZ6,2000,3,CPU-DCNS,12912.332070007687,273.7475509788842
DTLZ6,2000,3,CPU-BOS,1967.305679997662,71.99569215964183
DTLZ6,2000,3,GPU-NDS,4.1779039859771725,0.19730313519784295
DTLZ6,2000,3,Naive-GPU,3.8392256259918214,0.02816477428914961
DTLZ6,2000,5,CPU-NSGA2,13081.013139995048,290.456270773744
DTLZ6,2000,5,CPU-DCNS,11499.586110009113,293.84413632678104
DTLZ6,2000,5,CPU-BOS,2698.9493599976413,121.93569958915612
DTLZ6,2000,5,GPU-NDS,3.2946112394332885,0.2533664272826527
DTLZ6,2000,5,Naive-GPU,2.82454400062561,0.024655783504419895
DTLZ6,2000,8,CPU-NSGA2,13279.785800003447,254.947789505957
DTLZ6,2000,8,CPU-DCNS,10790.103769989219,157.5936633643341
DTLZ6,2000,8,CPU-BOS,3062.0794900110923,73.79209600619632
DTLZ6,2000,8,GPU-NDS,2.8818464040756226,0.24001875776540926
DTLZ6,2000,8,Naive-GPU,2.4572863817214965,0.021382741203654715
DTLZ6,2000,10,CPU-NSGA2,13335.954019997735,360.13087880689113
DTLZ6,2000,10,CPU-DCNS,10527.816719998373,251.771461379964
DTLZ6,2000,10,CPU-BOS,3356.854150001891,81.60362640943181
DTLZ6,2000,10,GPU-NDS,3.300918436050415,0.2585919907517866
DTLZ6,2000,10,Naive-GPU,2.6455424070358275,0.044741170372651275
DTLZ6,2000,15,CPU-NSGA2,13254.798279993702,211.27635966468173
DTLZ6,2000,15,CPU-DCNS,10360.816449997947,186.70766458261463
DTLZ6,2000,15,CPU-BOS,3604.8712400195654,82.29211407071188
DTLZ6,2000,15,GPU-NDS,3.564204788208008,0.22343995768582806
DTLZ6,2000,15,Naive-GPU,3.2168352127075197,0.02334535539222943
