problem,N,M,DCNS_no_presort,DCNS_presort,GPU_NDS
DTLZ1,100,3,4950,4950,10000
DTLZ1,100,5,4950,4950,10000
DTLZ1,100,10,4950,4950,10000
DTLZ1,500,3,124750,124750,250000
DTLZ1,500,5,124750,124750,250000
DTLZ1,500,10,124750,124750,250000
DTLZ1,1000,3,499500,499500,1000000
DTLZ1,1000,5,499500,499500,1000000
DTLZ1,1000,10,499500,499500,1000000
DTLZ1,5000,3,12497500,12497500,25000000
DTLZ1,5000,5,12497500,12497500,25000000
DTLZ1,5000,10,12497500,12497500,25000000
DTLZ2,100,3,4950,4950,10000
DTLZ2,100,5,4950,4950,10000
DTLZ2,100,10,4950,4950,10000
DTLZ2,500,3,124750,124750,250000
DTLZ2,500,5,124750,124750,250000
DTLZ2,500,10,124750,124750,250000
DTLZ2,1000,3,499500,499500,1000000
DTLZ2,1000,5,499500,499500,1000000
DTLZ2,1000,10,499500,499500,1000000
DTLZ2,5000,3,12497500,12497500,25000000
DTLZ2,5000,5,12497500,12497500,25000000
DTLZ2,5000,10,12497500,12497500,25000000
DTLZ5,100,3,4950,4950,10000
DTLZ5,100,5,4950,4950,10000
DTLZ5,100,10,4950,4950,10000
DTLZ5,500,3,124750,124750,250000
DTLZ5,500,5,124750,124750,250000
DTLZ5,500,10,124750,124750,250000
DTLZ5,1000,3,499500,499500,1000000
DTLZ5,1000,5,499500,499500,1000000
DTLZ5,1000,10,499500,499500,1000000
DTLZ5,5000,3,12497500,12497500,25000000
DTLZ5,5000,5,12497500,12497500,25000000
DTLZ5,5000,10,12497500,12497500,25000000
